i1,j1,i2,j2
0,4,0,5
0,6,1,6
0,8,0,9
0,12,0,11
0,16,0,17
1,1,1,2
1,3,0,3
1,13,1,14
1,15,1,16
1,17,2,17
1,19,1,18
2,0,2,1
2,2,2,3
2,6,3,6
2,8,1,8
2,10,1,10
2,12,2,11
2,14,2,15
3,1,3,0
3,7,3,8
3,11,4,11
3,13,3,14
3,17,3,16
3,19,2,19
4,0,5,0
4,6,4,5
4,8,4,9
4,10,5,10
4,14,4,15
4,16,5,16
4,18,4,19
5,1,5,2
5,3,6,3
5,5,5,6
5,7,5,8
5,13,6,13
6,0,6,1
6,6,6,5
6,8,7,8
6,12,7,12
6,14,6,15
6,16,7,16
6,18,6,19
7,3,7,2
7,7,6,7
7,9,7,10
7,11,8,11
7,13,8,13
7,15,8,15
7,17,6,17
7,19,7,18
8,2,8,3
8,4,7,4
8,8,8,9
8,12,9,12
8,16,9,16
9,1,9,2
9,3,9,4
9,9,9,10
