i1,j1,i2,j2
0,0,0,1
0,4,0,5
0,6,0,7
0,14,0,13
0,16,0,17
0,26,1,26
0,34,1,34
0,40,1,40
0,42,0,41
0,48,0,47
0,50,0,51
0,62,0,61
0,66,0,65
0,70,1,70
0,72,1,72
0,78,1,78
0,80,0,79
0,82,0,83
0,84,1,84
0,88,0,89
0,90,0,91
0,96,0,95
0,104,0,105
0,114,0,115
0,120,1,120
0,126,0,127
0,128,1,128
0,132,0,133
0,136,1,136
0,140,0,139
0,142,1,142
0,144,0,145
0,148,1,148
0,154,0,155
0,156,0,157
0,158,0,159
0,174,0,173
0,178,0,179
0,180,0,181
0,182,1,182
0,184,0,183
0,192,0,193
0,196,0,195
0,198,0,197
1,1,1,2
1,5,1,6
1,11,2,11
1,13,1,12
1,27,1,28
1,31,0,31
1,33,2,33
1,43,2,43
1,45,2,45
1,55,2,55
1,57,2,57
1,59,0,59
1,67,2,67
1,75,1,76
1,81,1,80
1,89,1,90
1,93,1,94
1,105,1,104
1,111,1,112
1,123,2,123
1,125,1,126
1,135,2,135
1,141,1,140
1,143,1,144
1,151,2,151
1,153,0,153
1,155,2,155
1,163,2,163
1,165,1,164
1,171,1,170
1,181,1,180
1,185,1,184
1,197,1,196
2,0,3,0
2,2,3,2
2,6,2,7
2,8,1,8
2,14,2,15
2,16,2,17
2,24,2,23
2,26,2,27
2,28,2,29
2,36,1,36
2,42,3,42
2,46,3,46
2,48,1,48
2,50,1,50
2,60,3,60
2,62,2,63
2,68,3,68
2,74,2,73
2,78,3,78
2,86,3,86
2,92,2,91
2,96,2,97
2,98,3,98
2,104,3,104
2,110,3,110
2,112,2,113
2,116,3,116
2,118,2,117
2,120,2,121
2,126,2,125
2,130,1,130
2,134,1,134
2,136,2,137
2,142,3,142
2,146,1,146
2,150,3,150
2,152,2,153
2,158,2,159
2,160,2,161
2,164,3,164
2,166,2,167
2,172,1,172
2,174,3,174
2,176,3,176
2,186,1,186
2,190,1,190
2,194,1,194
3,5,3,6
3,7,4,7
3,13,3,12
3,17,3,16
3,21,2,21
3,25,3,24
3,31,4,31
3,35,4,35
3,39,3,40
3,49,4,49
3,59,2,59
3,61,3,62
3,65,4,65
3,67,4,67
3,69,4,69
3,71,3,72
3,73,4,73
3,75,2,75
3,77,2,77
3,81,4,81
3,89,3,90
3,93,3,92
3,99,4,99
3,101,3,100
3,103,2,103
3,105,3,106
3,111,3,112
3,113,4,113
3,119,3,118
3,121,4,121
3,125,3,124
3,129,4,129
3,131,4,131
3,139,3,138
3,141,2,141
3,145,4,145
3,153,3,154
3,155,3,156
3,161,3,162
3,163,4,163
3,171,2,171
3,181,4,181
3,185,2,185
3,187,3,186
3,189,2,189
3,191,3,192
3,193,3,194
3,195,2,195
3,197,3,198
4,2,4,1
4,8,3,8
4,10,5,10
4,16,4,15
4,18,4,19
4,24,5,24
4,38,4,39
4,40,4,41
4,48,3,48
4,50,5,50
4,54,3,54
4,64,4,63
4,80,4,79
4,84,3,84
4,86,4,85
4,92,5,92
4,100,5,100
4,102,5,102
