i1,j1,i2,j2
7,59,8,59
52,124,53,124
12,85,13,85
9,20,10,20
41,0,42,0
6,176,6,177
3,162,3,163
20,165,20,166
60,136,60,137
87,142,87,143
89,10,89,11
58,93,59,93
51,98,52,98
86,19,87,19
37,127,37,128
91,93,92,93
51,172,51,173
28,49,28,50
94,13,94,14
33,168,34,168
7,134,8,134
69,182,70,182
1,164,1,165
11,0,11,1
36,89,36,90
19,133,20,133
66,191,67,191
38,196,38,197
78,167,78,168
56,112,57,112
1,111,1,112
96,170,96,171
89,65,89,66
13,6,14,6
13,71,13,72
73,12,74,12
85,153,86,153
13,64,13,65
15,65,16,65
41,11,41,12
10,198,11,198
24,192,25,192
19,188,19,189
54,138,55,138
65,66,66,66
0,80,1,80
77,133,78,133
53,159,54,159
34,116,34,117
63,140,64,140
30,86,30,87
57,7,58,7
91,151,91,152
96,58,97,58
25,131,26,131
33,33,34,33
32,128,33,128
33,8,33,9
21,125,22,125
73,26,74,26
65,151,66,151
76,33,77,33
11,185,12,185
25,195,25,196
84,36,84,37
0,182,1,182
78,52,79,52
64,17,65,17
51,66,51,67
87,105,88,105
97,85,98,85
64,55,65,55
30,100,30,101
90,153,91,153
94,71,95,71
29,198,30,198
31,3,31,4
67,65,68,65
87,139,88,139
95,186,96,186
43,2,43,3
67,58,68,58
60,132,61,132
4,15,4,16
34,174,35,174
42,95,42,96
94,16,94,17
92,147,92,148
50,135,50,136
56,7,56,8
55,62,55,63
68,141,68,142
51,161,52,161
61,33,61,34
96,150,97,150
54,67,54,68
5,24,5,25
90,167,91,167
65,179,65,180
10,57,10,58
71,180,71,181
79,139,80,139
95,193,96,193
4,1,5,1
7,36,7,37
64,78,64,79
80,81,81,81
32,167,33,167
73,63,73,64
46,127,47,127
19,143,20,143
70,119,71,119
57,10,58,10
16,43,16,44
54,183,54,184
12,178,12,179
66,161,66,162
96,107,97,107
15,132,16,132
82,109,82,110
78,15,78,16
80,166,81,166
5,31,5,32
84,38,85,38
11,77,11,78
78,55,79,55
13,182,14,182
37,174,38,174
70,93,70,94
4,8,5,8
52,140,52,141
55,124,55,125
52,178,52,179
78,1,79,1
37,120,38,120
32,12,32,13
77,125,77,126
35,169,36,169
45,1,46,1
46,118,46,119
11,195,12,195
78,69,79,69
17,91,17,92
62,59,63,59
72,39,73,39
83,95,84,95
18,73,19,73
79,91,79,92
40,148,41,148
13,115,14,115
18,66,19,66
53,27,53,28
58,148,59,148
23,99,24,99
59,46,60,46
21,149,22,149
17,192,18,192
97,41,98,41
39,94,40,94
9,58,9,59
83,180,84,180
36,80,37,80
48,126,49,126
11,116,11,117
62,73,63,73
97,69,97,70
72,46,73,46
89,188,89,189
8,154,8,155
33,117,33,118
39,115,39,116
96,73,96,74
99,81,99,82
94,2,94,3
38,82,38,83
41,157,41,158
22,66,22,67
55,35,56,35
63,12,64,12
4,39,4,40
16,38,16,39
45,45,45,46
27,92,27,93
20,126,20,127
84,27,84,28
26,16,27,16
61,150,62,150
3,77,3,78
31,44,31,45
94,173,95,173
96,174,97,174
25,84,25,85
5,48,5,49
33,131,33,132
62,172,62,173
48,137,48,138
14,33,14,34
90,98,90,99
38,198,38,199
47,61,48,61
73,49,73,50
88,23,88,24
75,177,75,178
61,142,61,143
94,187,95,187
54,146,54,147
31,119,31,120
10,159,10,160
43,118,43,119
77,114,78,114
62,186,62,187
59,172,59,173
5,78,6,78
27,155,28,155
16,198,16,199
73,172,73,173
45,137,45,138
24,141,25,141
70,158,70,159
9,136,10,136
46,40,46,41
18,43,18,44
56,123,56,124
1,127,1,128
55,178,55,179
62,105,62,106
75,191,75,192
93,45,93,46
78,198,78,199
18,83,19,83
14,63,15,63
38,177,39,177
64,163,64,164
55,148,55,149
28,190,28,191
98,71,98,72
20,78,21,78
75,110,75,111
83,150,83,151
37,2,38,2
19,158,19,159
60,100,60,101
43,22,44,22
70,195,70,196
83,190,84,190
4,110,5,110
0,90,1,90
17,47,17,48
3,12,3,13
14,179,15,179
24,74,25,74
72,92,72,93
27,0,27,1
79,128,80,128
89,198,89,199
95,180,95,181
29,107,29,108
25,162,26,162
84,154,85,154
15,42,15,43
36,66,37,66
21,43,21,44
39,147,39,148
22,69,23,69
53,136,53,137
8,161,8,162
91,3,92,3
37,60,38,60
39,101,39,102
61,136,62,136
95,194,95,195
61,68,62,68
81,55,82,55
3,121,4,121
41,120,41,121
